,col
109,"У одного мужика очень сильно болела голова. Он перепробовал все лекарства, побывал у множества врачей. Бесполезно, невыносимая боль не проходит. С отчаянья решил покончить жизнь самоубийством. Но тут один врач сказал:
- Головная боль пройдет, если вам отрезать член.
Мужик подумал и говорит:
- Все равно умирать, режьте!
Отрезали. И боль действительно прошла! И мужик посмотрел на жизнь другими глазами. Ему захотелось радоваться, ему захотелось перемен. И он решил пошить себе новые штаны. Пришел к портному. Портной, старый еврей, спрашивает:
- А какие желаете карманы? А какой хотите пояс? А в какой штанине привыкли носить член?
Мужик в непонятках:
- А какое это имеет значение?
Портной:
- Что вы! От этого бывают такие страшные головные боли!"
110,"Сломался у мужика утюг. Спустился вниз к
консьержке. Баба Маш! Дай утюг. Она говорит: Смотрю я на тебя-видный же
мужик! А все бобылем ходишь! Подымись на 7 этаж, там такая красавица
живет, залюбуешься! Попроси утюг! То, се-глядишь познакомитесь,
приглянетесь друг другу. А там может и свадьбу сыграете. Поехал мужик на
седьмой этаж. Приготовился нажать, а сам думает-ну нажму, ну
познакомлюсь, ну женюсь и что же получается: домой вовремя, c мужиками
не бухнуть, получку отдай, дети сопливые футбол не дадут посмотреть.
Нажимает на звонок. Дверь открывает действительно красавица.
А мужик ей орёт: Да
пошла ты нахуй со своим утюгом!"
111,"Мужик заходит в бар, заказывает виски:
- Сколько с меня?
- Три доллара.
Мужик вынимает из кармана три доллара. Один кладет на стойку перед собой, потом идет в левый конец стойки, там кладет второй, потом идет в правый конец стойки, там кладет третий.
Бармен, тихо матерясь, идет направо-налево и забирает деньги.
На следующий день опять тот же мужик приходит, опять стаканчик виски заказывает и снова раскладывает доллары в разные концы стойки.
Бармен злится, но за деньгами ходит.
Короче, такая картина повторяется день за днем.
И вот однажды мужик заказывает виски, берет стакан, роется в кармане и вытаскивает бумажку в 5 долларов.
Бармен быстро эту бумажку берет, мстительно улыбается, достает два доллара сдачи, идет в левый конец стойки, там кладет один доллар, потом идет в правый конец и там кладет второй.
Затем возвращается и злорадно смотрит на мужика.
Мужик флегматично выпивает виски, вытаскивает из кармана доллар, кладет его перед собой и говорит:
- Пожалуй, возьму еще стаканчик."
112,"Два канадских лесоруба вечером сидят в баре и угрюмо пьют виски.
— Послушай–ка, Джек. Тебе не кажется, что мы потихоньку деградируем? Смотри: наши дни отвратительно однообразны. С утра мы встаём, одеваемся и идём валить лес, валим его до вечера, а вечером мы идём в этот бар, где упиваемся виски до блевотины, потом кто–то относит нас домой, где мы с утра встаём, и так далее. Тебе никогда не хотелось как–то разнообразить наш досуг?
— Ты прав, Боб. Хотеться–то хотелось, но как?..
— О, я тут полистал журнальчик, там пишут, есть масса способов. Например, можно во что–нибудь поиграть. До вот хотя бы в загадки.
— Загадки? Это как?
— Это довольно просто. Я загадываю какое–нибудь слово или, скажем, понятие, а ты начинаешь задавать мне вопросы, чтобы я мог отвечать только «да» или «нет»: сладкое? солёное? съедобное? несъедобное? круглое? квадратное? — и таким образом пытаешься угадать, что я задумал. Давай?
— Хм… Ну что ж, загадывай.
И Боб загадал «лосиный хуй».
— Я готов, Джек. Давай свои вопросы.
— Та–ак, вопросы. Ну, вот, скажем… это съедобное? Вернее, это можно есть?
— Э–э… Ну, в принципе — в принципе, можно.
— Лосиный хуй?!"
113,"Ползёт на вершину альпинист, долго ползет, несколько дней, вся одежда в лохмотья превратилась, но вот вершина покорилась.. и только собрался альпинист победно вскинуть руки вверх как замечает двух мужичков в абсолютно чистых и белых одеждах, посреди снега и камней у костра шашлыки жарят.. он раздраженно спрашивает их:
- как вы сюда добрались да еще во всем белом с дровами и мясом?
- а там с боку от горы облачко есть, оно поднимает и опускает тебя как на лифте. хочешь покажу?
- конечно!
мужичок в белом подходит к краю горы встает на облако и опускается на нем вниз потом поднимается обратно..
- если не веришь сам попробуй..
альпинист встает на облачко и со свистом улетает в пропасть, а мужичок как ни в чем не бывало садится обратно к костру. второй на него смотрит и говорит:
-Пётр, ты хоть и святой, но такой пиздабол..."
114,"Новичок заходит в камеру. Арестанты играют в домино. Он, с улыбкой: - Привет, козлы! Все накинулись, долго пинали, потом все-таки объяснили, что так, мол, нельзя, слово оскорбительное. - Ну так бы сразу и сказали, а то налетели, как петухи..."
115,"Сидят три поросенка в домике, боятся волка. Вдруг открывается дверь и входит он:
— Шалом! - говорит волк,
— Фууууууух! - выдохнули поросята."
116,"Выбросило однажды мужика море на необитаемый остров. Мужик был хозяйственный, со временем обустроился, но очень не хватало женской ласки. И вдруг на охоте он увидел стадо диких коз, изловчился и поймал маленького козлёнка. Со временем выросла красивая здоровая коза, но очень своенравная и шустрая. Только пристроится мужик – коза отбежит, только вот-вот... Опять убежит. Но в один день море вынесло на берег прелестную девушку, мужик ее откачал, а она и говорит: 
.
.
.
.
.
.
.
–Я тебе жизнью обязана! Проси чего хочешь.
А он в ответ: 
–Будь другом, подержи козу!"
117,"Мужчина едет на велосипеде. На мосту рыбак стоит. Велосипедист остановился и спрашивает: 
–Что, рыбку ловим? 
Молчание. 
–Я говорю, рыбку ловим?! 
Рыбак молчит. 
–Ты что, глухой?! Я спрашиваю, рыбку ловим?!!! 
Молчание. 
Мужик плюнул, сел на велосипед и поехал. Дорога шла в гору. С большим трудом велосипедист взобрался на гору. Запыхался... Вдруг слышит, что рыбак ему что-то кричит. Развернулся и покатил обратно. Подъезжает к рыбаку, а тот спрашивает: 
.
.
.
.
.
–Что, на велосипеде катаемся?"
118,"Начальник вызывает к себе в офис уборщика, чтобы уволить и говорит ему:
–Убирайся!"
119,"Жил был король, и растил он трех дочерей. Дошел до него как-то слух, что они шлюхи, и решил он это проверить. 
Приходит он к старшей дочери и снимает перед ней штаны. 
–Дочка, это что? 
–Это хуй, папа. 
–И знаешь для чего он нужен? 
–Да... 
–Что, и обращаться умеешь? 
–Пап, ты бы знал, что у нас на дискотеках в королевстве происходит, когда жаб 5-метоксидиметилтриптаминовых ребята с болот приносят... 
–Ах ты шлюха! - воскликнул король, сокрушенно покачал головой и поспешил к средней дочери. Снял перед ней штаны, задал те же вопросы... 
–И ты тоже шлюха! - хлопнув дверью, король прислонился к стене в коридоре и с грустью посмотрел в окно. Тут он вспомнил про третью дочь и поспешил к ней. Пришел к ней, снял с себя штаны и говорит: 
–Ну а ты знаешь, что это? 
–Не знаю, папочка. 
Король вздохнул с облегчением: 
–Благословляю тебя, золотце ты моё. Сберегла себя и не опозорила мою седую голову. Кстати, это хуй, будет у тебя жених, он тебе покажет, что с ним делают. 
–Папенька, да разве ж это хуй?"
120,"От одной женщины муж ушел. Ничего забирать не стал. Просто в один прекрасный день ушел и домой не вернулся. Надоело ему с этой женщиной жить. А стал он жить с Карлом, потому что Карл ему мозги не выносит. Женщина эта очень горевала. Не так, конечно, как если бы он к Кларе ушел, но все-таки. Страдала очень сильно, прямо хоть в петлю. 
Вот, подруги, глядя на ее страдания, ей и говорят: «Зачем тебе муж? Купи себе лучше жабу». 
«Какую жабу?» — удивилась женщина. 
«Колорадскую», — ответили подруги, — «Мы все так теперь делаем. И никакие мужики нам больше не нужны. И очень удобно». 
Женщина удивилась. Купила она жабу. И заодно бутылку вермута, чтобы отпраздновать покупку. 
«И что теперь дальше делать?» — спрашивает. 
«А теперь ее надо поцеловать, как в сказке», — подруги отвечают. 
И женщина эту жабу поцеловала, страстно и нежно. Откупорила вермут, поставила бутылку с жабой на стол с драной клеенкой, налила вино в бокал, и с лягушкой целуется. 
А она того не знала, что эта жаба выделяет 5-метоксидиметилтриптамин. И женщина этого триптамина наглоталась, прямо как Иван Царевич. 
И видит она, что жаба ударилась оземь, встает, скидывает с себя лягушачью кожу и превращается в юношу прекрасной наружности. И говорит: 
— Привет, женщина. 
Женщина обалдела и спрашивает: 
— Ты кто? 
— Я – Царевич-Лягушка. 
— Что же мне теперь делать? — говорит женщина. 
— Ничего не делай, раздевайся, ложись в кроватку и закрывай глазки. Я все сам сделаю в лучшем виде. 
Женщина так и сделала. Легла в кровать, коленки раздвинула, а Царевич-Лягушка кувырк рядом и начал с женщиной такие чудеса выделывать, какие только в порнофильмах бывают. И даже еще лучше. 
Стала женщина жить, как в сказке. Утром Царевич-Лягушка обратно в жабу превращается. Женщина его в аквариум засовывает и на работу уходит, в свою бухгалтерию. А вечером приходит домой, целует жабу, та кожу скидывает и превращается в прекрасного юношу. Садятся они телевизор смотреть, пусть говорят и танцы со звездами, и салатик кушать, который им жаба приготовила. И женщина пьет вино, а жаба ей ступни массирует и всякие смешные вещи рассказывает. 
А потом Царевич-Лягушка целует ей пяточки и берет на ручки и несет в постель и раскладывает там женщину и начинает играть с ней в разные игры, о которых она даже и помыслить не могла. А утром женщина просыпается, а рядом никого и нет. Только жаба на подушке сидит и смотрит на женщину своими жабьими глазами, прости Господи. Женщина вздыхает, кладет лягушку в аквариум и идет собираться на ненавистную работу. 
И вот в одно прекрасное утро эта женщина и думает: «А нахуя я хожу на эту работу?» Взяла, да и не пошла. А снова поцеловала жабу. И жаба превратилась в Квадрат Малевича. И он ей и говорит: 
— Иди, женщина, в магазин, и купи там холст и акриловые краски и кисточки такого-то номера, и бутылку каберне. 
И женщина пошла и купила. Приносит холст домой, положила его на стол. 
А Квадрат ей и говорит: 
— А теперь рисуй. 
Женщина отвечает: 
— Я не умею. 
— А похуй, рисуй, как рисуется. 
— А что? 
— Что хочется. 
Женщина удивилась: 
— А разве так можно? 
— Конечно, — улыбнулся Квадрат Малевича. — Так теперь только и рисуют. 
Стала женщина рисовать всякую хуету, как умеет. Пьет каберне, целуется с Квадратом Малевича и рисует. Нарисовала она ужасную абстракцию фиолетового цвета с оранжевыми кругами. 
Квадрат Малевича встал с дивана, подошел к холсту, и так и этак на него смотрит, и вдруг восклицает: 
— Это почти гениально, дорогая! 
Схватил холст подмышку, надел шарф и шляпу на голову и выбежал из квартиры. Женщина сидит дома, ждет, что дальше будет. Вечером включила телевизор, а там передают по новостям, что одна женщина нарисовала вчера абстрактную живопись, и ее только что продали на аукционе Sotheby's за сто двадцать миллионов долларов. И ее портрет показывают. Женщина очень удивилась. 
На другой день вернулся Квадрат Малевича, без шляпы и слегка подшофе, принес деньги в рюкзаке: 
— Это, — говорит, — тебе, а это – мне. Все по-честному. 
Поняла женщина, что ей теперь ни на какую работу ходить не надо. А нужно живописью заниматься. И что она теперь за один день может сто двадцать миллионов долларов зарабатывать. Минус комиссионные. Ничего делать почти что и не надо, а только пей себе вино и целуйся с жабой, и рисуй акриловыми красками всякие каракули, все равно никто ничего не понимает. 
Тут эта женщина вдруг видит, что ей бывший муж звонит, который с Карлом теперь. И она испугалась, и трубку снимать не стала. И он ей пишет СМС, что хочет с ней снова встречаться, и что какой он дурак, что сразу не понял, какое сокровище потерял, и какой у нее глубокий внутренний мир. А она ему пишет: «Иди ты нахуй, Роберт». И заблокировала везде. 
Потом эта женщина продала свою хрущевку, и купила себе дом под Парижем по интернету, и всю новую мебель в икее, а старую выбросила, весь этот хлам, ну его впизду. И заказала себе много новых платьев и юбок и шалей, и серег и колец, и поехала в аэропорт на такси с чемоданами и аквариумом. И она надевает туфли на десятисантиметровых каблуках и оранжевое платье, и входит на трап в самолет, который летит в Париж, а ей говорят: «Милочка, с лягушками в салон нельзя!» И она удивилась и заявляет: «У меня для жабы оплачено место в бизнес-классе». А ей отвечают: «Таковы правила, ничем помочь вам не можем». 
Тогда женщина вынимает из сумочки пистолет и стреляет стюардессе прямо в сердце. И та заваливается набок и падает, и вторая начинает кричать, а женщина берет ее за горло и говорит: «Вводи, сука, код!» И та вводит пароль, чтобы попасть в кабину пилотов. И они обе входят внутрь, а там сидит первый пилот и пьет коньяк мартель прямо из бутылки, потому что боится высоты. А второй пилот пошел в туалет. 
И женщина вышвыривает стюардессу из кабины пилотов и садится в кресло. А первый пилот улыбается, потому что уже пьяный вговно, и говорит: 
— Ничего у тебя не получится, потому что нужно два ключа. 
А женщина достает из аквариума жабу и целует ее, и жаба ударяется оземь, и скидывает кожу и превращается в прекрасную обнаженную блондинку, которая садится напротив первого пилота на приборную панель и раздвигает ножки и слюнявит пальчики и засовывает их туда, и вынимает второй ключ. 
И первый пилот смотрит, ничего не понимая, и женщина ему говорит: 
— Заводи мотор. 
И он вставляет оба ключа, и включает навигацию, и продувает сопла, и начинает выруливать. И женщина сидит в кресле второго пилота и целуется страстно с блондинкой, и держит пилота под прицелом пистолета и не сводит с него глаз. 
И первый пилот спрашивает: 
— Куда летим? В Париж. 
А женщина ему отвечает: 
— Не твоего ума дела. Взлетай. 
Самолет взлетел, а женщина и командует: «Рули в сторону Москвы». Первый пилот понял, что женщина хочет направить самолет на Кремль и так убить Путина и войти в историю спасителем человечества. Пролетают они над Красной площадью. Женщина и говорит: 
— Сбрасывай бомбу! 
Пилот удивился и отвечает: 
— Ты чего-то путаешь, женщина, у меня никакой бомбы нет. Это пассажирский самолет. 
— А это что? — говорит женщина и нажимает белую кнопочку. 
Внизу самолета открывается люк и оттуда вываливается небольшая атомная бомба и летит на Кремль, падает на голову Путину и взрывается. 
В это время блондинка надела на голову фуражку второго пилота и пьет мартель из бутылки и выпивка течет у нее по подбородку и капает на прекрасную обнаженную грудь и женщина слизывает у нее коньяк с сосков. И думает: «Этот коньяк подозрительно похож на тот самый вермут, который я взяла в тот день, когда купила жабу. И что-то тут не так». 
И женщина открывает глаза и видит, что она стоит на коленях перед столом с драной клеенкой, а на нем сидит колорадская жаба и лежит бутылка, и женщина слизывает у нее с горлышка вермут. И женщина встала с коленок, покачиваясь на десятисантиметровых каблуках, и пошла на кровать. Легла в постель и думает: «И вправду, с такой жабой никакой мужик мне не нужен. Ну, их нахуй». Закрыла глаза и заснула сладким сном."
121,"Поженили, значит, у казака младшего сына. Отгуляли свадьбу, разошлись все по комнатам, молодые пошли первую брачную ночь устраивать.
Ночью кто-то трогает казака за плечо:
— Батько! Батько!
— Що, синку?
— Батько, не лізе! Що робити?
— Ну ти в кринку зі сметаною сунь, і залізе.
Проходит 5 минут.
— Батько! Батько!
— Що, синку?
— Батько, ну не лізе!
— Ну ти в кринку сунув?
— Батько, в кринку не лізе!"
122,"Наташа на балу тихонько шепчет Ржевскому:
– Знаете, поручик, папенька уехал в деревню, и я сегодня ночью буду дома совсем одна...
.
.
.
.
.
– Хорошо, наверное, быть дома ночью одной.
– А спать я буду в такой большой мягкой постели...
– Хорошо, наверное, спать в большой мягкой постели...
Наташа, краснея:
– Знаете, я буду спать совершенно голая...
– Хорошо, наверное, спать совершенно голой...
Наташа, не выдерживая, громким шепотом:
– Ржевский, приходите сегодня ко мне ебаться!
Ржевский (загадочно):
– Намек понял."
123,"Приближается День победы 
Звонят из администрации президента в Японию: 
— Ваш император приедет к нам на парад 9 мая? 
— Нет.
— А премьер?
— Нет.
— А просто министр какой? 
— Нет.
— А кто будет? 
— Посол! 
— Какой посол?
.
.
.
.
. 
— Посол нахуй!"
124,"Идет процесс инициации священников. Они стоят голые, и к их яйцам привязаны колокольчики, а перед ними, перед каждым по очереди, танцует красивая обнаженная девушка....
.
.
.
.
.
.
.
.
.
Если колокольчики молчат, значит священник достиг духовной чистоты и получает сан священника. Почти все выдержали испытание, и только последний, самый молодой священник Иван сломался, его член напрягся, колокольчики зазвенели, ленточка лопнула, и колокольчики покатились по полу. Смущенный Иван выбежал из строя и нагнулся, чтобы поднять их. И тут зазвенели все остальные колокольчики..."
125,"Идёт суд. Судят хирурга за изнасилование. Судья спрашивает хирурга:
— Как вы могли так сделать с бедной женщиной? Вы же уважаемый врач.
Врач:
— А что я? Я бедный врач, я так много работаю, трое суток не спал, руки в крови. Мне нужна была разрядка, я увидел что-то стоит, вот и прижался.
Судья - женщине:
— Теперь вы расскажите, что вы думаете об этом?
Женщина:
— Шо-шо? Я помила перший раз, помила другий, пішла на третій, нагнулась викручавати тряпку і тут шось ззаду підбігло.
Судья:
— Вы что же, не могли убежать?
Женщина:
— Куди?! По помитому?!"
126,"В школе детей спрашивают - кем работают ваши папы?
Кто-то говорит - бизнесменом, кто-то - военным, кого-то - строителем.
Вовочка: ""А у меня папа - пианист в борделе!""
Учительница негодует и требует отца в школу. Тот приходит и выслушивает гневные тирады - ""Как вам не стыдно такое ребенку рассказывать!"".
На что отвечает: 
.
.
.
.
""Понимаете, вообще я разработчик, пишу распределенные вычислительные системы под кластеры, но разве это объяснишь 10-летнему пацану?"""
127,"Идет поручик Ржевский мимо полка солдат, прислушивается и слышит историю от солдата:
""Иду я на почту, письмецо отправить. А мне девушка Светлана говорит, у вас письмо без даты. Ну я ей говорю: Сама ты пизда!""
Поручик усмехнулся, дошел до своих друзей-офицеров и говорит:
""Такую историю смешную услышал по дороге,
значит, приходит солдат на почту, ему девушка Светлана на почте:
-У вас письмо без штемпеля
А он ей:
.
.
.
.
-Да пошла ты нах*й!"""
128,"Англия, конец 19-го века. Джентльмен скачет на лошади, под вечер начинается дождь. Джентльмен находит неподалеку ферму и стучится туда, ему открывает леди Светлана.
Д: здравствуйте, Светлана, не могли бы вы пустить меня переночевать?
Л С: простите, я одна дома, мужчин нет, было бы неприлично впускать вас ночью.
Д: ну что вы, мисс Светлана! Я же джентльмен, обещаю, что все будет самым приличным образом!
Светлана согласилась и впустила его переночевать. Наутро джентльмен просыпается, выглядывает в окно и замечает, что во дворе гуляют 20 кур и 20 петухов. Спустившись к Светлане, он решил поинтересоваться на этот счет.
Д: простите, мисс Светлана, но зачем вам 20 петухов для 20 кур?
Л С: ну что вы! Петух там всего один, а остальные такие же джентльмены как вы."
129,"Затеял мужик капитальный ремонт и нанял под это дело двух рабочих - вроде нормальные, не бухают. Приезжает через две недели домой принимать работу, ходит - ну просто заебись всё сделано, не придерешься. Заходит в туалет, а там унитаз блять к потолку прихуячен! Он, естественно: это чё за хуйня? А работяга ему: эй, погоди ругаться, вот смотри! - разбегается, отталкивается от стены, хватается за края унитаза руками, подтягивает к нему свою жопу и начинает срать. Моча с говном, естественно, валятся сквозь ноги вниз, падают ему на спину, грудь и лицо, он отпускает руки, шлёпается в кучу собственного говна и говорит:
- Действительно, Вася, хуёво сделали - надо подправить."
130,"В Одессе идет процесс. Гувернантка Дуня, подала в суд за изнасилование на маленького мальчика Моню, 
которому она прислуживала. В качестве адвоката Мони, выступает его мама.Поставила Моню на стул и говорит, 
-Граждане судьи, посмотрите на этого пятилетнего мальчика, как он мог изнасиловать эту Дуню? 
Снимает с него штаны и говорит, 
-Посмотрите, что вот этой тютюлькой он её изнасиловал? 
Моня говорит, 
-Мама, перестаньте теребонить писю, процесс проиграем."
131,"После окончания московской консерватории молодую дирижершу послали по распределению на гастроли по губернским городам России. Выдали ей партитуру одной из симфоний Рахманинова с тем, чтобы она с местными оркестрами исполняла эту самую симфонию. 
Приезжает она, стало быть, в уездный город Усть–Матюганск, репетирует с местным оркестром. Через неделю — премьера. Большой успех, аплодисменты. Непосредственно после аплодисментов подходит к дирижерше 2–й тромбон и говорит: 
— Я, знаете ли, догадываюсь, что нашему захолустью далеко до столицы в плане возможности культурно отдохнуть, но буквально за углом от филармонии расположен очень уютный бар, в котором всегда подают свежее пиво и очень приличные шашлыки. Не согласились бы вы отужинать? 
Дирижерша соглашается, они проводят вместе дивный вечер, который заканчивается в ее гостиничном номере. В следующем уездном городке к дирижерше после удачной премьеры вновь подходит 2–й тромбон уже местного оркестра, и выдает такой текст: 
— Наверное, все уездные города похожи друг на друга. Однако у нашего имеется своя изюминка: не далее, чем в квартале отсюда расположен уютный кабачок, в котором подают очень неплохие шашлыки по–карски и вполне приличное свежее пиво. Не согласились ли бы вы отужинать? 
Дирижерша соглашается. Они проводят дивный вечер, который закначивается в ее гостиничном номере. Когда ситуация повторяется в 3–м и 4–м городах, дирижерша крепко задумывается: ""Может быть, это в музыке Рахманинова есть что–то мистическое? И почему именно 2–й тромбон?"" Она раскрывает партию 2–го тромбона и видит широкую надпись поперек нотных линеек: ""Дирижерша ведется на пиво и шашлыки"""
132,"Однажды студент решил доебаться до профессора и спросил его: ""Перед вами два мешка — один с золотом, другой — с умом. Какой бы вы взяли?"" 
Профессор ответил ему — ""С умом"". 
""А я бы с золотом взял"" — сказал студент.
.
.
.
.
.
.
.
.
. 
 
""Да ты бы и в рот взял"" — парировал профессор."
133,"На олимпийских играх, одного из боксеров сняли с соревнований, т.к. нашли у него в крови допинг. Делать нечего, нужно спасать честь России.
И выставили дядю Ваню, колхозного кузнеца. Тот говорит,
-Ребята, я не хочу!
-Простой хотя бы один раунд, мы тебе машину подарим!
Дядя Ваня согласился. Боксер кузнеца пиздит, тот стоит. Первый раунд закончился, ему говорят,
-Еще раунд простоишь, мы тебе, блять калоши подарим.
-Блять за калоши 2 раунда простою!
2 раунда его пиздят, он стоит.
-Слушай, ну еще раунд один продержись, мы тебе квартиру подарим!
Идет еще один раунд, его пиздят, он стоит!
-Еще один раунд продержись, мы тебе дачу построим!
-Не, нахуй, щас я его пиздить начну!"
134,"— Простите, я потерял сынишку в вашем торговом центре. Можно сделаю объявление по радио? 
— Конечно. 
Наклоняется к микрофону:
.
.
.
.
.
.
.
.
. 
— Я веган."
135,"Высаживаются первые земляне на Марс. Исследователь смотрит на анализатор воздуха и радостно говорит:
- Тут полно кислорода, вполне хватит для дыхания и горения! Ну-ка!...
Достаёт коробок спичек, вынимает спичку, собирается чиркнуть, и тут из-за валуна выскакивает синий пучеглазый марсианин и кричит: ""Неет!""
Космонавт в испуге отбрасывает спичку, абориген скрывается.
- Осторожно! - говорит капитан исследователю. - Может, в атмосфере есть горючие газы?
Исследователь проверяет анализатор.
— Ничего нет, я все же попробую, — говорит он и опять достаёт спичку.
Из-за валунов выскакивает толпа марсиан во главе с вождём, который один одет в длинное белое одеяния, и хором кричат ""Нееет!"", размахивая руками.
— Может, почва здесь состоит из горючих материалов и они боятся пожара? — говорит капитан.
— Здесь та же самая почва, что была в месте посадки, — возражает исследователь. — Не загорелась же она от двигателей. Он решительно чиркает спичкой. Та горит. Ничего не происходит.
Марсиане поворачиваются и уходят.
— Постойте! — кричит вслед капитан, — а почему нельзя было зажигать спичку?
Вождь, обернувшись, говорит с укоризной:
— Таки ведь шаббат!"
136,"Ржевский жалуется Пушкину:
— Ухаживаю я за Наташей Ростовой, а она такая чистоплюйка, ей, видите ли, противно, что я матом ругаюсь!
— А ты ее поставь в такую ситуацию, чтобы она сама себя выставила глупой и бескультурной.
— Это как?
— А ты спроси: ""В Чехии была?"" Она скажет: ""Ну, была"". Тогда спроси: ""Знаешь Яна Гуса?"" Она скажет: ""Знаю"". Тогда спроси: ""А Яниху знаешь?"" Она скажет: ""Нет, ЯНИХУ Я НЕ ЗНАЮ"".
И вот поручик пришел к Наташе:
— Наташа! Ты в Чехии была?
— Нет...
— Ну вот видишь! Ни xуя-то ты не знаешь!"
137,"В первом классе школы дети учатся писать. Учительница спрашивает: 
— Танечка! Что ты вчера делала после школы? 
— Играла в песочнице. 
— Умница, Танечка! Иди к доске и напиши слово «песок». 
Танечка выходит, пишет. Учительница продолжает: 
— Петенька! А ты что вчера делал? 
— А я вчера играл с Танечкой. У меня был совочек. 
— Молодец, Петенька! Иди напиши на доске слово «совок». 
Петенька идёт к доске, пишет «совок». Учительница вновь спрашивает: 
— Муталиб Саид ибн Ахмед Бей! А ты что вчера делал? 
— Я пытался поиграть с Танечкой и Петенькой, но они назвали меня чучмеком и забросали каштанами! 
— Безобразие! Что они себе позволяют! Муталиб Саид ибн Ахмед Бей! Иди к доске и напиши 100 раз, чтоб видели все, «вопиющая дискриминация и унижение человеческого достоинства»!"
